Net Label,Pin,I/O Standard
aud_adcdat,AC27,3.3-V LVCMOS
aud_adclrck,AG30,3.3-V LVCMOS
aud_bclk,AE7,3.3-V LVCMOS
aud_dacdat,AG3,3.3-V LVCMOS
aud_daclrck,AH4,3.3-V LVCMOS
aud_i2c_scl,AH30,3.3-V LVCMOS
aud_i2c_sda,AF30,3.3-V LVCMOS
aud_mute,AD26,3.3-V LVCMOS
aud_xck,AC9,3.3-V LVCMOS
clk_50m_fpga,Y26,HSMC_VCCIO
fan_ctrl,AG27,3.3-V LVCMOS
fpga_ddr3_a[0],AJ14,SSTL-15 CLASS I
fpga_ddr3_a[1],AK14,SSTL-15 CLASS I
fpga_ddr3_a[10],AJ9,SSTL-15 CLASS I
fpga_ddr3_a[11],AK9,SSTL-15 CLASS I
fpga_ddr3_a[12],AK7,SSTL-15 CLASS I
fpga_ddr3_a[13],AK8,SSTL-15 CLASS I
fpga_ddr3_a[14],AG12,SSTL-15 CLASS I
fpga_ddr3_a[2],AH12,SSTL-15 CLASS I
fpga_ddr3_a[3],AJ12,SSTL-15 CLASS I
fpga_ddr3_a[4],AG15,SSTL-15 CLASS I
fpga_ddr3_a[5],AH15,SSTL-15 CLASS I
fpga_ddr3_a[6],AK12,SSTL-15 CLASS I
fpga_ddr3_a[7],AK13,SSTL-15 CLASS I
fpga_ddr3_a[8],AH13,SSTL-15 CLASS I
fpga_ddr3_a[9],AH14,SSTL-15 CLASS I
fpga_ddr3_ba[0],AH10,SSTL-15 CLASS I
fpga_ddr3_ba[1],AJ11,SSTL-15 CLASS I
fpga_ddr3_ba[2],AK11,SSTL-15 CLASS I
fpga_ddr3_cas_n,AH7,SSTL-15 CLASS I
fpga_ddr3_ck,AA14,DIFFERENTIAL 1.5-V SSTL CLASS I
fpga_ddr3_ck_n,AA15,DIFFERENTIAL 1.5-V SSTL CLASS I
fpga_ddr3_cke,AJ21,SSTL-15 CLASS I
fpga_ddr3_cs_n,AB15,SSTL-15 CLASS I
fpga_ddr3_dm[0],AH17,SSTL-15 CLASS I
fpga_ddr3_dm[1],AG23,SSTL-15 CLASS I
fpga_ddr3_dm[2],AK23,SSTL-15 CLASS I
fpga_ddr3_dm[3],AJ27,SSTL-15 CLASS I
fpga_ddr3_dq[0],AF18,SSTL-15 CLASS I
fpga_ddr3_dq[1],AE17,SSTL-15 CLASS I
fpga_ddr3_dq[10],AG18,SSTL-15 CLASS I
fpga_ddr3_dq[11],AK19,SSTL-15 CLASS I
fpga_ddr3_dq[12],AG20,SSTL-15 CLASS I
fpga_ddr3_dq[13],AF19,SSTL-15 CLASS I
fpga_ddr3_dq[14],AJ20,SSTL-15 CLASS I
fpga_ddr3_dq[15],AH24,SSTL-15 CLASS I
fpga_ddr3_dq[16],AE19,SSTL-15 CLASS I
fpga_ddr3_dq[17],AE18,SSTL-15 CLASS I
fpga_ddr3_dq[18],AG22,SSTL-15 CLASS I
fpga_ddr3_dq[19],AK22,SSTL-15 CLASS I
fpga_ddr3_dq[2],AG16,SSTL-15 CLASS I
fpga_ddr3_dq[20],AF21,SSTL-15 CLASS I
fpga_ddr3_dq[21],AF20,SSTL-15 CLASS I
fpga_ddr3_dq[22],AH23,SSTL-15 CLASS I
fpga_ddr3_dq[23],AK24,SSTL-15 CLASS I
fpga_ddr3_dq[24],AF24,SSTL-15 CLASS I
fpga_ddr3_dq[25],AF23,SSTL-15 CLASS I
